Card_Id,Total_Trips,Active_Days,Unique_Origins,Unique_Dests,Avg_TT,Peak_Trips,Weekend_Trips
0003235880644f13,65,39,5,8,24.473333333333333,6,12
000866901a6a737d,72,38,4,4,16.424537037037037,42,8
0008bf8ce2081481,81,40,5,4,16.112551440329216,65,14
000ad71e8253627d,51,28,5,4,22.73954248366013,36,1
000b6a8137e9a358,69,34,6,3,16.229468599033815,64,10
0010c86187a2ccb1,53,27,6,6,23.08930817610063,3,10
0011de33f4ccd270,69,33,3,5,13.806763285024154,35,10
00125e0ea0fd3571,56,31,6,5,29.663988095238096,37,8
00141d25e360c37c,80,41,6,9,20.63520833333333,43,15
001700e8d041359d,79,38,3,4,21.38037974683544,46,13
00187bd64ba61668,72,26,12,11,18.0375,22,6
001b13ede1c0a6ff,58,29,2,2,23.679310344827588,53,0
001d11eaac9ba844,55,28,2,4,18.383333333333333,50,0
001f7b3ec44a63b5,60,32,9,10,24.92111111111111,8,10
001fccdf33a9a14c,65,33,5,6,18.854615384615386,49,0
00221fa24a8163e6,85,36,8,6,14.500588235294115,50,5
0022554bf94d4e7c,69,36,2,4,21.83429951690821,63,8
0022fb16f0f0dd2a,63,32,5,4,20.049470899470897,52,6
002931aa76df5b22,51,27,6,6,16.089869281045754,38,6
002de4c40553555a,61,34,7,8,13.831147540983608,50,12
00314a8161cb7557,55,32,7,6,13.866666666666664,27,3
0037ef274d8ca81c,64,33,2,4,23.765625,44,0
003a81fac3c030ce,73,35,7,6,25.46073059360731,54,12
003ac11426d1bb5a,55,28,4,7,17.05090909090909,38,10
003b48808454ecbc,59,31,3,5,29.47627118644068,19,0
003d8050bb10f07e,66,35,3,3,16.55580808080808,33,9
003df3422ff5fc73,55,30,10,8,28.64121212121212,12,3
00402016819c5dff,60,31,5,4,21.91583333333333,53,0
0040dbbe21c61dc6,50,25,2,3,27.671333333333333,25,0
004129a3b15b1840,59,32,7,6,17.90536723163842,8,11
004224dbce450f92,50,29,4,4,13.382666666666667,22,8
00426c6eda0847d7,62,36,6,5,21.107526881720432,42,12
0046a58fa6af0e10,51,31,5,3,19.63888888888889,48,0
004ac0f14453cfac,52,30,4,9,15.875,19,9
004c21854ac8bfa1,65,33,4,5,34.139743589743595,63,0
004d15ffa2b029b3,58,28,10,9,23.535344827586208,18,4
004d443d15d78be8,66,37,5,6,23.99949494949495,37,14
0052dc583084ba3e,51,29,5,6,25.11470588235294,46,1
0053f67a76f407a8,58,30,5,6,10.479885057471265,43,0
0058cbab0e81dca1,65,37,6,6,26.73641025641026,19,11
005c8962d81c3519,50,20,11,12,12.557333333333334,24,6
00604064f0fc467d,64,34,6,7,17.145052083333333,56,7
006263fed5bd9ba7,64,33,8,8,26.307291666666668,36,6
0062fdf3dfb36ba6,69,34,5,3,32.438647342995175,30,11
0068447f7bdc23e1,65,33,3,3,13.88794871794872,57,0
00695a82a775d22a,76,39,5,5,22.6484649122807,49,13
006c4ab1a50a461c,68,35,5,8,19.579411764705885,39,7
006d98cb08da012c,81,40,4,5,28.73230452674897,41,14
006de366c3b32efb,51,24,7,8,23.02091503267974,19,18
0070889f71ab7f7e,54,22,8,7,19.81604938271605,26,3
0071049f1adca42b,72,36,8,8,14.222916666666666,31,9
007236bb2a1e360c,72,38,5,5,25.149537037037035,49,6
00745cd85909ea3f,85,41,5,5,14.991960784313724,80,13
00762cc99df13071,81,39,6,6,11.760493827160492,68,14
007681036589c2ac,63,32,2,4,24.426984126984127,63,0
0077a668516441e0,74,40,5,6,14.548873873873871,23,11
0078c1d19bd6052f,64,34,4,3,27.4875,60,4
007bde29b3998aea,69,37,3,2,37.133574879227055,55,12
007db74a8ada4102,63,32,3,4,28.29126984126984,59,0
007effd9211e5925,52,32,3,4,15.2375,44,6
00804724a91a9dfc,63,32,4,5,20.80396825396825,32,4
0080748f4ec21dad,50,24,4,4,19.14966666666667,21,2
00852a43ed7d8b3b,56,38,6,6,23.35744047619048,39,10
008569f16427acb8,64,35,5,4,28.70833333333333,60,9
008844522fdb7b7a,110,40,6,8,23.99833333333333,75,13
00891abdffcb81ab,59,30,5,7,39.345197740112994,21,2
0089d376620da5a6,55,29,6,6,21.60030303030303,36,4
008abce943ca3dae,55,30,6,6,24.76121212121212,43,0
008ca7c78852045e,56,29,4,3,17.130952380952383,39,7
0091dbc89719d14a,73,40,3,4,14.48013698630137,62,14
009341133b1742d5,76,37,4,6,28.923684210526314,62,13
0093900ea64f253c,54,29,8,5,21.76327160493827,13,6
0093ec0bae89ecce,73,38,6,7,18.61324200913242,48,14
00953e5f77a55806,64,42,2,3,14.111197916666669,44,12
009dd8157e130b41,55,24,7,8,21.727878787878787,20,4
009e265a4117e130,60,36,7,7,16.73111111111111,48,10
009ffae15e230344,76,39,3,6,15.179385964912282,53,10
00a086b84e449c4a,77,42,5,4,22.893290043290044,39,15
00a346d789c22292,63,37,10,8,24.24179894179894,19,8
00a3830f72fd701a,70,39,6,8,24.71261904761905,39,6
00ab1eee7f509e91,84,40,9,9,23.017857142857142,29,16
00ab28aac3041fb6,62,38,2,3,32.61666666666667,34,14
00ac991d89b5899c,73,35,7,11,28.172374429223748,58,3
00ad018e2ac4a2da,58,26,10,9,16.142528735632183,24,15
00ae315fad5b8549,55,27,4,5,19.70878787878788,29,10
00ae639f5ba7bd00,64,36,3,4,21.2265625,57,6
00afb85b87b589d9,53,25,7,8,19.11729559748428,21,8
00b1704372a31386,62,37,8,7,22.525,41,2
